"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"116",1,4,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,24,26,27,29,30,32,33,34,36,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117",1,4,6,7,9,10,11,12,13,14,15,16,20,21,22,26,27,30,32,34,36,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118",1,4,6,7,8,11,13,14,15,16,17,18,19,20,21,22,26,28,29,30,32,34,36,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119",1,3,4,7,8,11,12,13,14,15,16,17,18,19,20,21,22,26,27,28,29,30,32,33,34,36,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120",1,4,5,6,7,8,10,11,13,15,16,19,20,21,22,26,27,32,34,36,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"121",1,3,4,6,7,8,11,13,14,15,16,17,18,19,20,21,22,26,27,30,32,33,34,36,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122",1,3,4,6,7,8,11,12,13,14,19,20,21,22,26,27,29,30,32,34,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123",1,4,6,7,8,11,12,13,14,15,16,18,19,20,21,22,26,27,30,32,33,34,36,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",1,3,4,6,7,9,10,11,12,13,14,15,17,18,20,21,22,26,27,29,30,32,33,34,36,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125",1,4,5,6,7,11,13,14,15,16,17,19,20,21,22,26,27,28,29,30,32,34,36,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21,22,25,26,27,29,30,32,34,36,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",1,4,6,7,8,11,12,13,14,15,17,18,19,20,21,22,26,27,30,32,34,36,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"128",1,4,6,7,8,11,12,13,14,15,16,17,18,19,20,21,22,26,27,30,32,33,34,36,38,39,40,41,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
